"사용월","호선명","지하철역","유임승차인원","무임승차인원","유임하차인원","무임하차인원","작업일자"
"201707","1호선","종로3가","711168","346276","679184","321599","20170803"
"201706","1호선","종로3가","667215","365977","612488","340556","20170703"
"201705","1호선","종로3가","691031","375653","633421","346676","20170603"
"201704","1호선","종로3가","702206","363866","643971","336516","20170503"
"201703","1호선","종로3가","765409","400767","699978","368535","20170403"
"201702","1호선","종로3가","716760","343472","668889","316215","20170308"
"201701","1호선","종로3가","716837","328316","676534","302961","20170208"
"201612","1호선","종로3가","811638","382069","744281","349813","20170108"
"201611","1호선","종로3가","819339","351300","725706","319652","20161208"
"201610","1호선","종로3가","734517","369426","673926","338481","20161108"
"201610","1호선","종로3가","734517","369426","673926","338481","20161108"
"201609","1호선","종로3가","663131","344064","613030","317403","20161008"
"201609","1호선","종로3가","663131","344064","613030","317403","20161008"
"201608","1호선","종로3가","711034","335434","673715","310324","20160908"
"201607","1호선","종로3가","770598","341563","736707","315580","20160808"
"201606","1호선","종로3가","704957","352937","648386","324507","20160708"
"201605","1호선","종로3가","761955","369132","696928","339244","20160608"
"201604","1호선","종로3가","742395","367963","686619","339633","20160508"
"201603","1호선","종로3가","779748","393973","725025","362392","20160408"
"201602","1호선","종로3가","712684","330776","684801","304815","20160308"
"201601","1호선","종로3가","813525","359714","786534","331595","20160208"
